Process,Average,"Last value"
java,"1.02%","0.70%"
node,"0.49%","0.30%"
nmap,"0.29%","0.20%"
sshd,"0.18%","0.20%"
kswapd7,"0.16%","0.10%"
"Suricata-Main","0.11%","0.10%"
cloudflared,"0.10%","0.10%"
kswapd0,"0.10%","0.00%"
kswapd2,"0.10%","0.20%"
kswapd3,"0.10%","0.10%"
"kworker/u21:0+brcmf_wq/mmc1:0001:1","0.10%","0.00%"
vi,"0.10%","0.10%"
agentbeat,"0.10%","0.10%"
"elastic-agent","0.07%","0.10%"
journalctl,"0.07%","0.10%"
kcompactd7,"0.04%","0.00%"
kcompactd0,"0.03%","0.00%"
kcompactd2,"0.02%","0.00%"
kcompactd4,"0.01%","0.00%"
kcompactd3,"0.01%","0.00%"
Other,"0.00%","0.00%"
